message_id,text,difficulty_bucket,difficulty_score,true_intent,gold_reply_notes,true_escalate,true_escalate_reason
2300476,@XboxSupport Help. My FIFA 18 Is stuck on this screen. I restarted the xbox but it still stays. https://t.co/VpM6INuT7Y,adversarial,3,game_crash_bug,Must not just suggest restarting again -- already tried.,True,Restart already attempted and failed to resolve the stuck screen.
267045,"@127852 Hi, I purchased Fifa points on Xbox One and redeemed them over 24 hours ago and still haven't received them",typical,0,code_activation,Must not assume the points will arrive; needs delivery-status verification.,True,"Money involved, redemption delayed more than 24 hours past normal."
1632740,@XboxSupport Done using my ext drive for Xbox One use. How do I format back for pc use? PC won’t even detect it.,typical,0,how_to_question,Give clear drive-reformatting steps for PC use.,False,"Informational/technical guidance, no account action."
2307482,@90089 Its great. But trying to get @XboxSupport Xbox to give me an answer about hotas bug is like getting blood out of a stone!,edge,1,game_crash_bug,"Acknowledge the frustration about unresponsiveness directly, not just the bug itself.",True,Sarcastic frustration about lack of response -- churn-risk signal.
1405224,@115786 @XboxSupport @153293 Or should I wait till November but that game may glitch🤔🤔,typical,0,other_unclear,"Brief, low-stakes response; opinion/timing question.",False,"Fragment, low-stakes opinion-seeking about timing of a purchase."
959933,"@XboxSupport 
my xbox account has been blocked, I tried everything but I can not access it.
There is no reason for my account to be blocked",typical,0,account_data_issue,Must not guess at the reason for the block; needs real account review.,True,Account blocked with no stated reason -- needs human review.
657707,"@XboxSupport @130182 Hello support, they don’t want that I speak to a supervisor! How can I do? Please call me or contact me by mail!",edge,1,other_unclear,Honor the explicit request to escalate to a supervisor/human contact.,True,Customer explicitly requests supervisor escalation and a direct contact method.
2304167,@XboxSupport anytips to speed up downloads? ive been downloading 2k for almost two days now and its only at 40 percent.. :/,typical,0,network_connectivity,Must not just give generic speed tips; 2 days at 40% suggests a real underlying issue.,True,Download speed far below normal for an extended period.
705448,When you think you have a faulty Xbox One X and @XboxSupport @117331 are struggling to figure out why I can’t connect to the internet? Even my brothers Xbox and our PS4’s work😂😬😬,typical,0,network_connectivity,Treat as a possible device-specific fault given other devices on the same network work fine.,True,Isolated to this Xbox specifically; other consoles/PS4 on the same network work.
1178332,"@XboxSupport Hello! Since the OG Xbox games are on Xbox 360 marketplace, are they playable on 360 too?",adversarial,4,how_to_question,Answer the backward-compatibility question factually.,False,Informational compatibility question.
1770769,"@XboxSupport I have a LG 34UC88-b monitor and my xbox one x does not see it as a 4k display even thou it wants to output to 4k, any ideas?",adversarial,3,hardware_issue,Suggest standard HDMI/resolution-setting troubleshooting for 4K output.,False,"Display compatibility issue, standard first response."
670330,@XboxSupport I am trying get a custom gamer picture but it says my account is not an adult account so I can’t change it is there a way I can make my account into an adult account?? Please help,ambiguous,2,account_data_issue,"Point to the age/account-type change process, note identity verification is typically required.",True,Account-type/age change needed to unlock a feature.
269659,@XboxSupport This didn’t work neither of us can invite any of our friends to games,typical,0,network_connectivity,Must not repeat the same advice that didn't work; needs real diagnosis.,True,Invite feature not working despite (implied) prior troubleshooting already attempted.
727415,@XboxSupport  So my clips render unplayable when I either download them or share them through OneDrive and i don't know why?,typical,0,game_crash_bug,Offer standard troubleshooting for the capture/clip rendering bug.,False,"Known type of capture-feature bug, standard first response."
827662,@115786 @XboxSupport Because I can't redownload my account we're gonna lose this clan battle.,ambiguous,2,account_data_issue,Treat as time-sensitive given the stated competitive/time impact.,True,Redownload failure with a real time-sensitive consequence (losing a clan battle).
