message_id,text,difficulty_bucket,difficulty_score,true_intent,gold_reply_notes,true_escalate,true_escalate_reason
14228,"@XboxSupport I have no card in the account was on four times in the last two weeks, this is horrible I’ve been a customr since 05 check my account again",typical,0,account_data_issue,Acknowledge the repeated unresolved contact and long tenure; don't just repeat standard steps.,True,"Repeated unresolved issue over two weeks, long-tenure customer -- churn risk."
2855520,@XboxSupport I am unable to play anything that is downloaded currently.,typical,0,game_crash_bug,Offer standard troubleshooting for downloaded-content playback.,False,"Standard troubleshooting, first response."
669073,@XboxSupport I’ve got an A button on brand new one x controller that doesn’t seem to register every time. What can I do?,typical,0,hardware_issue,Should not just suggest a firmware update; likely needs a hardware replacement/warranty path.,True,New hardware showing a defect -- likely warranty case.
2566324,@XboxSupport need urgent help asap,adversarial,4,other_unclear,Ask what the actual issue is before responding.,True,"Zero detail given, only urgency."
103508,"@XboxSupport I have a problem When i enter dark souls 3 and load the game it says save data corrupted.
Please  tell me how to fix it",ambiguous,2,game_crash_bug,"Must not suggest simply 'try again' -- this is data corruption, more serious than a routine crash.",True,Save data corruption -- real risk of lost progress.
509869,@XboxSupport I checked the other day and there was not,adversarial,3,other_unclear,Ask for context on what was being checked.,True,"Fragment, references an unstated prior question."
2309668,@XboxSupport please help with this,adversarial,4,other_unclear,Ask what the issue is before responding.,True,Zero detail given.
517411,"@XboxSupport Still running into a lot of issues. Fails to send signal to tv after turning on. Very sluggish OS. Fails to sign in. Corrupted game files. Stops downloads and streaming services randomly.
Any ideas?",typical,0,hardware_issue,Treat as a likely hardware fault given the range and severity of symptoms; don't offer a single generic fix.,True,"Multiple severe symptoms (signal, OS, sign-in, corruption) -- sounds like failing hardware."
2351305,@XboxSupport I would. But the chat is closed down for today.,typical,0,other_unclear,"Acknowledge chat is unavailable, offer an alternative contact path.",True,"Blocked from the official support channel, needs real follow-up."
2473733,@XboxSupport can I use my Microsoft account $$ to buy from a Microsoft Store ? Not online store though..,ambiguous,2,how_to_question,Answer the payment-method/store-type question factually.,False,"Informational, no account action."
2796361,"@XboxSupport im trying to redeem a code but when i get done and press enter, nothing happens. What can i do to fix it?",ambiguous,2,code_activation,Must not assume the code is invalid without checking.,True,"Money involved, direct redemption action failing."
1289323,@115786 I need some help some of my DLC for black ops 2  is gone I tried to redownload it but it won’t work can u help Xbox,typical,0,account_data_issue,Must not just suggest redownloading again -- already tried and failed.,True,"Paid DLC content missing, redownload already attempted unsuccessfully."
2035487,@XboxSupport Wow I really missed it then! Odd that new releases are still coming with QR codes.,edge,1,other_unclear,"Brief acknowledgment only, no action needed.",False,"Fragment/reaction to a prior exchange, no new issue raised."
2521470,@XboxSupport ive tried everything i can think of. How can i fix my UPnP connection on my Xbox one?,ambiguous,2,network_connectivity,Must not repeat generic troubleshooting -- customer states everything was tried.,True,"States 'tried everything', technical networking issue needing real diagnosis."
1389356,"https://t.co/GZy9OD8F82 via @xboxsupport this has been a frustrating two weeks as a fan and a racer crashes lost files, brutal and draining!",edge,1,game_crash_bug,"Acknowledge the data loss specifically (lost files), not just the crashing.",True,"Crashes plus lost files -- real data loss, prolonged frustration."
1539671,"@ATVIAssist @XboxSupport ""Error Code: 103294 -,B,C,D,E,F,G,-,I,J,-,-,M,-,-,P,Q, ... This one's easy, It's obviously H,K,L,N,O, =~{",edge,1,other_unclear,Flag as likely non-genuine/joke input rather than attempt a real troubleshooting response.,False,"Appears to be a joke/riddle tweet reusing another user's error code, not a genuine support request."
1214771,@XboxSupport It allowed me to purchase via that link and has taken my funds from account but the game is not in my library for download.,ambiguous,2,account_data_issue,Must treat as urgent -- money was taken but no product delivered.,True,"Funds taken, purchased game not in library -- failed delivery."
1764870,@XboxSupport I can’t redeem my rewards in cod ww2 from major Howard I’m reaching out to u guys because Activision Support aren’t replying,typical,0,code_activation,Acknowledge the cross-company complexity (Activision vs Xbox) rather than deflect.,True,Unresolved reward-redemption issue spanning two companies.
1171154,@XboxSupport Can you guys do something about Ark Survival Evolved. How is this game even allowed to be released it is so horribly broken.,typical,0,game_crash_bug,Acknowledge the feedback about the game's quality without overpromising a fix (not fully within Xbox's control).,False,"General quality complaint about a third-party game, not a specific fixable account issue."
