message_id,text,agent_draft_reply,agent_escalate,agent_escalation_reason,human_accuracy,human_relevance,human_tone,human_escalation_judgment,human_overall,human_notes
860450,@XboxSupport I get maybe 10 minutes in the server and then get booted out. Every time without fail for the last week or so.,@[username] Hiya! We would highly recommend letting Enforcement know by filing a complaint https://t.co/PttOdLxEdw ^JL,True,"The drafting relies on the first past example which had low similarity (0.26) and is contextually irrelevant (a report about 'get him' suggesting harassment/enforcement action) while the customer issue is technical (network disconnection). Sending a link to file an enforcement complaint for a connectivity bug is unhelpful and likely to annoy the customer. The technical nature of the issue requires a human agent or a specific troubleshooting knowledge base article, not a generic enforcement link.",1,1,3,5,2,Suggests filing Enforcement complaint for a connectivity bug -- wrong content
2142686,@629998 @85033 Need to figure out how to unlink my epic account so I can access game. Currently it doesn’t let me play on Xbox.,"Hi, thanks for reaching out. To help you unlink your Epic Games account so you can access your games on Xbox, please follow these steps:

1. Ensure the game is purchased on Xbox (even with a $0 placeholder) so it appears in your ""My Games."" 
2. On your Xbox, go to Settings > General > Network > Advanced settings and clear the system cache if needed, then restart.
3. If the issue persists, it may require manual unbinding by Epic support or our team. Please let us know if you've tried these steps, or if you'd like us to escalate this for further investigation. 

^XZ",True,"The drafted reply provides specific, potentially destructive technical steps (clearing system cache) and procedural advice (purchasing a placeholder) that are not supported by the provided grounded examples. The similar past cases address unrelated issues (controller parts, TV settings, generic glitches) and do not establish a precedent for account unlinking instructions. Furthermore, the issue involves complex account linkage and potential access to purchased content, which falls under sensitive account management where high confidence in the accuracy of the steps is required. Sending unverified steps for account manipulation risks further locking the user out of their games or causing data issues.",2,3,4,4,3,Gives unverified risky steps despite correctly escalating
1708141,@XboxSupport any reason when I’m in a party I get booted and it says Party Encountered An Error Iv hard reset Xbox and reset WiFi, @{handle} team here: https://t.co/lUV7XYl61S they may have some additional options for you to get this resolved. 2 ^XS,True,"The grounding examples are weak (low similarity scores) and contradictory (one suggests a link/community, another suggests phone support, a third requests a DM for details). The draft appears to be a heuristic template copy from the first example without clear evidence that this specific link is the correct resolution path for current 'Party Error' issues. Given the lack of confidence in the accuracy of the automated solution versus the need for diagnostic detail or phone support indicated by other examples, escalation is required.",1,1,2,5,2,Draft text is garbled/malformed
1595790,@XboxSupport I spent 60$ on a game that doesn't even work half of the damn time. Can always count on xbox for having shitty servers.,"[Customer] Hi there! The proper teams are currently hard at work getting this sorted out: https://t.co/dG2dbIAHPz 
 ^BL",True,"The customer's message includes a specific monetary complaint ($60 spent) and severe performance issues. The provided grounding example with high similarity only addresses a general game not working (possibly crash/bug), but the second example (lower similarity) indicates that non-working paid games often require a human agent for refund processing. Since the issue involves potential financial recourse and the draft reply ignores the monetary aspect by giving a generic link, it is safer to escalate.",2,2,3,5,3,Ignores the $60/money complaint entirely
260209,@XboxSupport Currently experiencing party issues but the site says all services are available. All kinds of issues including disconnecting.,@Customer Hey there! Our team is aware of the connectivity issues and is actively working on resolving them. Please check the Xbox Status page for the latest updates on service restoration. Thanks for your patience! ^QB,False,"The drafted reply is aligned with past handling of similar network/server issues by acknowledging the problem, noting that the team is aware/worked on it, and directing the user to the status page for updates, which covers the 'network_connectivity' intent without involving sensitive account or payment data.",3,4,4,2,3,"Reasonable content, but status-discrepancy case should have escalated"
2351305,@XboxSupport I would. But the chat is closed down for today.,We understand the inconvenience of the chat being closed. We would recommend contacting the chat team during their normal business hours to follow up on your issue. ^RM,False,"The drafted reply is consistent with the most similar past example (similarity 0.69) and accurately addresses the customer's statement that chat is closed by recommending they contact the team during business hours. The intent, while categorized as 'other_unclear', contains enough specific information (chat is closed) in the context of support to provide a standard directional response, which is done safely in the draft.",2,3,4,2,2,Invents 'normal business hours' policy not in grounding
2312149,"@XboxSupport Hello Xbox,
I wanted to download Call of Duty from the disc but it keeps saying installation stopped.. What to do now?","@customer Hi there, please try the steps here: https://t.co/Z4gqYJG4xh and attempt the installation again. Is this a disc or digital copy of Call of Duty? Also, can you please send us a photo of your detailed network statistics on your console? ^RM",True,"The customer explicitly stated they are downloading from a 'disc'. The drafted reply asks, 'Is this a disc or digital copy?', which ignores the information explicitly provided by the customer, making the response appear inattentive and unhelpful. Additionally, the grounding examples show a mix of solutions (link to steps, link to restart, status of teams looking into it), but asking a question contradicted by the user's input prevents auto-resolution.",2,2,4,5,2,Asks disc-vs-digital despite customer already stating disc
2244470,"@XboxSupport having trouble with a purchase, would like some additional help if possible, xbox live monthly subscription purchased twice for same account, will i be charged twice for a redundant package?",@123456 Hi there! We noticed a duplicate charge on your Xbox Live subscription. Please DM us your Gamertag and the dates of the two charges so we can investigate and issue a refund if needed. Thank you!,True,"The customer is requesting a refund for a duplicate Xbox Live subscription charge, which involves monetary transactions and account security. According to the policy, such cases should be escalated to a human agent for verification and appropriate handling.",4,5,4,5,4,"Solid, specific, correctly escalates duplicate charge"
1852562,@XboxSupport Actually it was October as I was beta testing. It used to update every October. 👍 Can it please be corrected?,"@Customer Got it, thank you for clarifying. To help us correct this information on your account, could you please send us your Gamertag via direct message? ^BL
 https://t.co/3ZhVDWKaYU",True,"The similar past examples have very low similarity scores (0.30) and are largely irrelevant to the specific request of correcting historical account data (beta testing dates). Additionally, the instruction explicitly requires escalation for issues involving 'account' security/data, and 'account_data_issue' falls under this category to prevent unauthorized modification of account records.",4,4,4,5,4,"Reasonable, correct escalation for account data correction"
1770769,"@XboxSupport I have a LG 34UC88-b monitor and my xbox one x does not see it as a 4k display even thou it wants to output to 4k, any ideas?","@< Customer> Hi there! To troubleshoot the issue with your Xbox One X not recognizing your 4K display, you can check out this guide here: <link to 4k troubleshooting guide> Let me know if you have any other questions! 
^TJ",False,"The draft is consistent with past handling of similar hardware/display issues, where linking to a troubleshooting guide is standard procedure. The customer's issue is a common technical configuration problem, not involving payment, account security, or complex privacy concerns. The tone and structure match the brand's voice.",4,4,4,5,4,"Standard, reasonable, correctly not escalated"
1162567,@ATVIAssist @XboxSupport Error code 103294,"@User Heya! Activision is currently working on the issue, be sure to check: https://t.co/hHwSDE0fiJ for updates. ^JL",True,"The user's error code (103294) does not appear in the provided grounding examples, which primarily reference a different error code (4128). Without a confirmed mapping for error 103294 in the knowledge base, sending a generic 'Activision is working on the issue' reply based on an unrelated error code is inaccurate and risky. The draft lacks specific grounding for this unique code.",2,2,3,5,2,Cites a mismatched error code per agent's own admission
1059769,@ArgosHelpers I brought a new Xbox one s yesterday Friday and I’m having problems with it The I can’t download games from disc 1/2,"<@customer_id> Hi there! Thanks for reaching out to us. To assist you further with your Xbox One S issue, could you please send us a direct message with your Gamertag and a summary of the issue? Please include any error codes or messages you are seeing. ^JA",False,"The drafted reply matches the standard protocol seen in the provided grounding examples for hardware/technical issues, which involves requesting a direct message with the Gamertag and issue details. The customer did not mention sensitive payment information or account security risks, and the draft does not provide potentially inaccurate technical troubleshooting steps, making it safe to auto-send.",4,4,4,4,4,"Standard, reasonable"
154678,@XboxSupport Ive contacted support 5 times but nobody can fix my home xbox problem they’ve made me do the same thing and told me to wait but never works. I cant play my digital games offline and somebody probably has access on my live gold and games!! https://t.co/3FqqH7EE1k,@XboxSupport Hey there. Let's be sure to reach out to the chat team to look into your options: https://t.co/lUV7XYl61S ^BL,True,"The customer explicitly mentions a potential breach ('somebody probably has access on my live gold'), which involves account security and fraud, requiring immediate human intervention rather than a standard chat link.",2,2,3,5,3,"Weak given explicit security-breach claim, escalation correct"
347246,@XboxSupport is there a way you can show me how to buy a power supply as a tutorial?,"@XboxSupport Hi there, for information on purchasing the correct power supply, please refer to the official Xbox support article here: https://support.xbox.com/en-US/hardware/console-accessories/power-supplies. If you need help identifying the specific model for your console, let us know which Xbox model you have.  1 ^ZM",True,"The customer requested a tutorial/specific guidance on how to purchase a power supply, but the provided examples are low-similarity and focus on auto-voltage specs or troubleshooting, not purchasing tutorials. The drafted URL is highly likely to be a hallucination or outdated link (support.xbox.com does not typically host direct product purchase tutorials), creating a risk of providing inaccurate information. The issue involves buying hardware, and without a verified, current link, it must be escalated.",2,3,4,5,3,"Likely hallucinated URL, but escalation correct"
649492,"@XboxSupport just got an xbox one s , its on the update part of installation, it was on 85% but I left it to keep downloading but the screen tinted black like usual afk but then you know normally if you dont play it turns off so it did that and i turn it on, its at 2%, why,why?!!","Heya! Sorry about the hiccup. Please make sure your power settings are configured to 'Stay Connected' in Settings > General > Power mode to prevent the console from sleeping during the update. If it restarts the update, just let it finish. You can also check the status here: https://t.co/U1X5xVR08C ^JL",True,"The user reported a critical failure where the console powered off during an update, causing progress to drop from 85% to 2%. This often indicates a hardware power issue (like a failing PSU) or a deep system corruption, rather than a simple software setting. The drafted reply suggests a specific settings path ('Settings > General > Power mode') and claims to prevent sleep, which may be factually incorrect for modern Xbox OS (where deep sleep is a separate setting in Energy Saving, and preventing sleep to avoid update failure is not a standard user-facing solution without further diagnostics). The grounding examples are weak (similarity 0.28) and contradictory (one suggests checking a link, another suggests not). Given the repeated power-off events and the drop in update percentage, this requires human triage to determine if it is a hardware fault or a specific software bug, rather than a generic 'wait for it to restart' instruction.",2,3,4,5,3,"Questionable technical specificity, escalation correct"
103508,"@XboxSupport I have a problem When i enter dark souls 3 and load the game it says save data corrupted.
Please  tell me how to fix it",@customer Hi there! I'm sorry to hear about the save data issue with Dark Souls 3. Could you please DM us your gamertag so we can look into this for you? Here is the direct message link: https://t.co/exampleDM ^RR,False,"The drafted reply accurately reflects the standard support protocol observed in the grounding examples for data issues (requesting a DM with details/gamertag). It does not involve financial transactions or security risks, and the tone is appropriate.",3,3,4,2,3,"Data-corruption case, should have escalated"
2300740,@115786 @115787 @XboxSupport everytime I use Netflix on my Xbox one X Scorpio edition. The screen goes black and the console turns off and I have to hard reset everytime. Is there a fix?!?,"@115786 Hi there! When the console turns off, is the power button blinking? ^RM",True,"The drafted reply asks a diagnostic question without first determining if the issue is hardware-related (which the customer has explicitly classified/stated) or part of a known global outage or recall. Given the severity (hard reset required) and the specific hardware nature of the complaint, simply asking if the light is blinking is insufficient and potentially misleading if the console is in a 'dead' state or experiencing a power supply failure, which often requires RMA. The grounding examples are weak as one directs to DM for vague issues and another to support lines, rather than providing a clear resolution path for a failing hardware unit.",3,3,4,5,3,Thin single diagnostic question given severity
2745434,@768880 @XboxSupport My code for xbox live does not work.  Is this a common issue??,"@768880 Sorry to hear that. Please try restarting your console, re-entering the code, and using a different network or device if possible. Let us know if that resolves the issue. ^RM",False,,3,4,4,2,3,"Reasonable troubleshooting, but money/action-failure case should escalate"
2142683,"@XboxSupport Hey when I go to add an existing account to my Xbox, it doesn't let me and forces me to use that email address to make a new account","We'd be happy to help, but we could use more info. Could you follow &amp; DM @Xboxsupport with your Gamertag &amp; some details? ^EZ",False,"The grounding example with the highest similarity (0.33) involves a technical restriction on uninstalling a game, which resulted in the exact same response used in the draft (requesting Gamertag and details via DM). This is a standard triage protocol for Xbox support to gather account verification information before troubleshooting. The issue does not involve direct financial transactions or immediate security breaches that would require higher-level human intervention at the first contact.",3,3,4,2,3,"Real account-linking action, should have escalated"
1354167,@115786 @XboxSupport @9914 Some please explain to me why my new live content for Madden 18 has never downloaded! It’s just a blank bar!?,"@115786 Hi there! We’re sorry you’re having trouble downloading the live content for Madden 18. Could you please DM us your Gamertag and let us know if you’re seeing any error messages? Also, double‑check that you have a stable network connection and enough free storage on your console. Once we have that info we’ll help you get the content installed. Thank you!",False,,4,4,4,4,4,"Standard, reasonable"
2801079,@XboxSupport Can i change the age at all?,"Hello. Unfortunately, you cannot change the age on an existing account. You will need to create a new account with the correct information. ^CO",True,"The issue involves core account information (age) and the proposed solution (creating a new account) is a significant friction point that may be inaccurate for certain services (like a primary profile where age cannot simply be reset without support intervention). Additionally, the grounding examples are weakly related (similarities < 0.6) and do not provide a valid precedent for changing account demographics.",3,4,3,4,3,"Blunt 'create new account' advice, escalation correct"
947107,@115790 hi my fifa has been stuck on this for 15 mins. I did a reset and everything @XboxSupport https://t.co/dkSlQlAIlL,@115790 Hi there! Let's go ahead and unplug the console and your router/modem for a full 5 minutes then check again.  ^BL,False,"The draft uses a standard troubleshooting step (power cycle) found in a highly relevant past example (similarity 0.33) where a game was stuck. The intent is a game crash/stuck screen, which is a common technical issue not involving security or money. The drafted reply is consistent with the brand's established response pattern for this type of issue.",4,4,4,4,4,"Standard power-cycle advice, reasonable"
2275036,@XboxSupport I bought star wars battlefront 2 elite trooper edition yet the only one showing up in my downloads is the standard edition!,Hi there! Can you DM us your Gamertag and a photo of that order from this link https://t.co/ynh71OJwNH ^JL,True,"The customer's issue involves a billing discrepancy (paid for Elite Edition but received/was limited to Standard), which implicates money and potentially account security or digital payment errors. Additionally, the grounded example (similarity 0.37) is relatively low, and automatically sending a request for a screenshot of an account can be risky without human verification to ensure the issue is correctly diagnosed as a download glitch rather than a failed transaction or refund issue.",3,3,4,5,3,"Generic, but escalation correct for billing discrepancy"
513843,@XboxSupport yes I️ can access it on my main account but not my secondary,"@[Gamertag] Hi there! To help us investigate, please DM us your Gamertag and clarify specifically what content or data you are unable to access on the secondary account. Thanks ^BL",False,"The drafted reply is consistent with past handling of account data issues on secondary accounts by requesting specific details and the Gamertag via DM, which is a standard initial troubleshooting step.",3,3,4,3,3,Reasonable first step for cross-account access issue
1407173,@447073 @118625 @115786 It also comes with Forza 7! Right now though it appears my gears 4 code doesn't work properly. So I need to figure that out.,"@447073 Hi, please try the steps here to help resolve the code issue: https://t.co/fHCPjSHTH7. ^ZM",True,"The grounding examples are weak and do not support the specific troubleshooting steps provided in the draft. The past examples involve factory resets, pre-downloads, or general console weirdness, none of which specifically address failed code activation. Linking to a generic 'console weirdness' URL (from the 0.24 similarity example) for a specific code activation failure is likely inaccurate and insufficient. Code activation issues often require manual redemption or specific MSN code entry steps that are not covered by the generic troubleshooting link.",2,2,3,5,2,Cites irrelevant precedent for code activation issue
